"","AD","CTRL"
"GSM4103849",1,0
"GSM4103850",1,0
"GSM4103851",1,0
"GSM4103852",1,0
"GSM4103853",1,0
"GSM4103854",1,0
"GSM4103855",1,0
"GSM4103856",1,0
"GSM4103857",1,0
"GSM4103858",1,0
"GSM4103859",1,0
"GSM4103860",1,0
"GSM4103861",1,0
"GSM4103862",1,0
"GSM4103863",1,0
"GSM4103864",1,0
"GSM4103865",1,0
"GSM4103866",0,1
"GSM4103867",0,1
"GSM4103868",0,1
"GSM4103869",0,1
"GSM4103870",0,1
"GSM4103871",0,1
"GSM4103872",0,1
"GSM4103873",0,1
"GSM4103874",0,1
"GSM4103875",0,1
"GSM4103876",0,1
"GSM4103877",0,1
"GSM4103878",0,1
"GSM4103879",0,1
"GSM4103880",0,1
"GSM4103881",0,1
"GSM4103882",0,1
"GSM4103883",0,1
"GSM4103884",0,1
